PRD_NBR,PERIOD,prc_lb,prc_ub
117975011,1,4,10
117975011,2,4,10
117975011,3,4,10
117975011,4,4,10
118121031,1,5.18,12.94
118121031,2,5.18,12.94
118121031,3,5.18,12.94
118121031,4,5.18,12.94
118121081,1,5.18,12.94
118121081,2,5.18,12.94
118121081,3,5.18,12.94
118121081,4,5.18,12.94
118121141,1,5.18,12.94
118121141,2,5.18,12.94
118121141,3,5.18,12.94
118121141,4,5.18,12.94
118121151,1,5.18,12.94
118121151,2,5.18,12.94
118121151,99,1.94,11
118121161,1,5.18,12.94
118121161,2,5.18,12.94
118121161,99,1.94,11
118121191,1,5.18,12.94
118121191,2,5.18,12.94
118121191,3,5.18,12.94
118121191,4,5.18,12.94
118121251,1,5.18,12.94
118121251,2,5.18,12.94
118121251,3,5.18,12.94
118121251,4,5.18,12.94
119052021,1,13.98,34.94
119052021,2,13.98,34.94
119052021,3,13.98,34.94
119052021,4,13.98,34.94
119052021,99,5.24,29.7
119052041,1,13.98,34.94
119052041,2,13.98,34.94
119052041,3,13.98,34.94
119052041,4,13.98,34.94
119052041,99,5.24,29.7
119052101,1,13.98,34.94
119052101,2,13.98,34.94
119052101,3,13.98,34.94
119052101,4,13.98,34.94
119052141,1,13.98,34.94
119052141,2,13.98,34.94
119052141,3,13.98,34.94
119052141,4,13.98,34.94
119052151,1,13.98,34.94
119052151,2,13.98,34.94
119052151,3,13.98,34.94
119052151,4,13.98,34.94
119052161,1,13.98,34.94
119052161,2,13.98,34.94
119052161,3,13.98,34.94
119052161,4,13.98,34.94
119084001,1,5.98,14.94
119084001,2,5.98,14.94
119084001,3,5.98,14.94
119084001,4,5.98,14.94
119084011,1,5.98,14.94
119084011,2,5.98,14.94
119084011,3,5.98,14.94
119084011,4,5.98,14.94
119094011,1,5.98,14.94
119094011,2,5.98,14.94
119094011,3,5.98,14.94
119094011,4,5.98,14.94
119094021,1,5.98,14.94
119094021,2,5.98,14.94
119094021,3,5.98,14.94
119094021,4,5.98,14.94
119094071,1,5.98,14.94
119094071,2,5.98,14.94
119094071,3,5.98,14.94
119094071,4,5.98,14.94
119094101,1,5.98,14.94
119094101,2,5.98,14.94
119094101,3,5.98,14.94
119094101,4,5.98,14.94
119094111,1,5.98,14.94
119094111,2,5.98,14.94
119094111,3,5.98,14.94
119094111,4,5.98,14.94
119132001,1,11.98,29.94
119132001,2,11.98,29.94
119132001,3,11.98,29.94
119132001,99,4.49,25.45
119132021,1,11.98,29.94
119132021,2,11.98,29.94
119132051,1,11.98,29.94
119132051,2,11.98,29.94
119132051,3,11.98,29.94
119132051,4,11.98,29.94
119132051,99,4.49,25.45
119132061,1,11.98,29.94
119132061,2,11.98,29.94
119132061,3,11.98,29.94
119132061,4,11.98,29.94
119132061,99,4.49,25.45
119387091,1,13.98,34.94
119387091,2,13.98,34.94
119387091,3,13.98,34.94
119387091,4,13.98,34.94
119387091,99,5.24,29.7
119487091,1,9.98,24.94
119487091,2,9.98,24.94
119487091,3,9.98,24.94
119487091,4,9.98,24.94
119487091,99,3.74,21.2
119487101,1,9.98,24.94
119487101,2,9.98,24.94
119487101,3,9.98,24.94
119487101,4,9.98,24.94
119487101,99,3.74,21.2
119487111,1,9.98,24.94
119487111,2,9.98,24.94
119487111,3,9.98,24.94
119487111,4,9.98,24.94
119487111,99,3.74,21.2
119487121,1,9.98,24.94
119487121,2,9.98,24.94
119487121,3,9.98,24.94
119487121,4,9.98,24.94
119487121,99,3.74,21.2
119487131,1,9.98,24.94
119487131,2,9.98,24.94
119487131,3,9.98,24.94
119487131,4,9.98,24.94
119487131,99,3.74,21.2
119487141,1,9.98,24.94
119487141,2,9.98,24.94
119487141,99,3.74,21.2
119487151,1,9.98,24.94
119487151,2,9.98,24.94
119487151,99,3.74,21.2
119487161,1,9.98,24.94
119487161,2,9.98,24.94
119487161,3,9.98,24.94
119487161,4,9.98,24.94
119487171,1,9.98,24.94
119487171,2,9.98,24.94
119487171,3,9.98,24.94
119487171,4,9.98,24.94
119550001,1,7.98,19.94
119550001,2,7.98,19.94
119550001,3,7.98,19.94
119550001,4,7.98,19.94
119550011,1,7.98,19.94
119550011,2,7.98,19.94
119550011,3,7.98,19.94
119550011,4,7.98,19.94
119551001,1,7.98,19.94
119551001,2,7.98,19.94
119551001,3,7.98,19.94
119551001,4,7.98,19.94
119551011,1,7.98,19.94
119551011,2,7.98,19.94
119551011,3,7.98,19.94
119551011,4,7.98,19.94
119551051,1,7.98,19.94
119551051,2,7.98,19.94
119570121,1,6.78,16.94
